,Unnamed: 0_x,cat,text,total_count_x,book_title_x,count_x,Unnamed: 0_y,total_count_y,book_title_y,supersense_category,count_y,_merge
2499,712.0,GPE,Finland,14.0,the_crimson_fairy_book_preface,1.0,1154,18,the_fairy_mythology,noun.location,1,both
2500,713.0,GPE,Finland,14.0,the_fairy_mythology,1.0,1154,18,the_fairy_mythology,noun.location,1,both
2501,714.0,GPE,Finland,14.0,the_lilac_fairy_book,1.0,1154,18,the_fairy_mythology,noun.location,1,both
2502,715.0,GPE,Finland,14.0,the_pink_fairy_book,3.0,1154,18,the_fairy_mythology,noun.location,1,both
2503,716.0,GPE,Finland,14.0,the_yellow_fairy_book,1.0,1154,18,the_fairy_mythology,noun.location,1,both
2504,711.0,GPE,Finland,14.0,the_blue_fairy_book,7.0,1155,18,the_lilac_fairy_book,noun.location,1,both
2505,712.0,GPE,Finland,14.0,the_crimson_fairy_book_preface,1.0,1155,18,the_lilac_fairy_book,noun.location,1,both
2506,713.0,GPE,Finland,14.0,the_fairy_mythology,1.0,1155,18,the_lilac_fairy_book,noun.location,1,both
2507,714.0,GPE,Finland,14.0,the_lilac_fairy_book,1.0,1155,18,the_lilac_fairy_book,noun.location,1,both
2508,715.0,GPE,Finland,14.0,the_pink_fairy_book,3.0,1155,18,the_lilac_fairy_book,noun.location,1,both
2509,716.0,GPE,Finland,14.0,the_yellow_fairy_book,1.0,1155,18,the_lilac_fairy_book,noun.location,1,both
2510,711.0,GPE,Finland,14.0,the_blue_fairy_book,7.0,1156,18,the_pink_fairy_book,noun.location,7,both
2511,712.0,GPE,Finland,14.0,the_crimson_fairy_book_preface,1.0,1156,18,the_pink_fairy_book,noun.location,7,both
2512,713.0,GPE,Finland,14.0,the_fairy_mythology,1.0,1156,18,the_pink_fairy_book,noun.location,7,both
2513,714.0,GPE,Finland,14.0,the_lilac_fairy_book,1.0,1156,18,the_pink_fairy_book,noun.location,7,both
2514,715.0,GPE,Finland,14.0,the_pink_fairy_book,3.0,1156,18,the_pink_fairy_book,noun.location,7,both
2515,716.0,GPE,Finland,14.0,the_yellow_fairy_book,1.0,1156,18,the_pink_fairy_book,noun.location,7,both
2516,711.0,GPE,Finland,14.0,the_blue_fairy_book,7.0,1157,18,the_yellow_fairy_book,noun.location,1,both
2517,712.0,GPE,Finland,14.0,the_crimson_fairy_book_preface,1.0,1157,18,the_yellow_fairy_book,noun.location,1,both
2518,713.0,GPE,Finland,14.0,the_fairy_mythology,1.0,1157,18,the_yellow_fairy_book,noun.location,1,both
2519,714.0,GPE,Finland,14.0,the_lilac_fairy_book,1.0,1157,18,the_yellow_fairy_book,noun.location,1,both
2520,715.0,GPE,Finland,14.0,the_pink_fairy_book,3.0,1157,18,the_yellow_fairy_book,noun.location,1,both
2521,716.0,GPE,Finland,14.0,the_yellow_fairy_book,1.0,1157,18,the_yellow_fairy_book,noun.location,1,both
2522,717.0,GPE,Finland.[569,1.0,the_fairy_mythology,1.0,1158,1,the_fairy_mythology,noun.location,1,both
2523,718.0,GPE,Finmark,2.0,popular_tales_from_the_norse_preface,2.0,1159,2,popular_tales_from_the_norse_preface,noun.location,2,both
2524,,,Finnish Rune,,,,1160,1,the_fairy_mythology,noun.group,1,right_only
2525,719.0,GPE,Finnmark,1.0,popular_tales_from_the_norse,1.0,1161,1,popular_tales_from_the_norse,noun.location,1,both
2526,,,Fir -,,,,1162,1,the_pink_fairy_book,noun.group,1,right_only
2527,,,Fir Tribe,,,,1163,1,evening_at_home,noun.location,1,right_only
2528,,,Fire,,,,1164,2,the_fairy_mythology,noun.location,2,right_only
2529,,,Fire - hill,,,,1165,1,the_fairy_mythology,noun.location,1,right_only
2530,,,Fish,,,,1166,1,the_brown_fairy_book,noun.location,1,right_only
2531,,,Fishes,,,,1167,1,europas_fairy_book,noun.group,1,right_only
2532,,,Five Weapons,,,,1168,1,indian_fairy_tales,noun.group,1,right_only
2533,721.0,GPE,Flanders,10.0,fairy_and_folk_tales_of_the_irish_peasantry,1.0,1169,9,fairy_and_folk_tales_of_the_irish_peasantry,noun.location,1,both
2534,722.0,GPE,Flanders,10.0,the_fairy_book,3.0,1169,9,fairy_and_folk_tales_of_the_irish_peasantry,noun.location,1,both
2535,723.0,GPE,Flanders,10.0,the_grey_fairy_book,1.0,1169,9,fairy_and_folk_tales_of_the_irish_peasantry,noun.location,1,both
2536,724.0,GPE,Flanders,10.0,the_red_fairy_book,5.0,1169,9,fairy_and_folk_tales_of_the_irish_peasantry,noun.location,1,both
2537,721.0,GPE,Flanders,10.0,fairy_and_folk_tales_of_the_irish_peasantry,1.0,1170,9,the_fairy_book,noun.location,3,both
2538,722.0,GPE,Flanders,10.0,the_fairy_book,3.0,1170,9,the_fairy_book,noun.location,3,both
2539,723.0,GPE,Flanders,10.0,the_grey_fairy_book,1.0,1170,9,the_fairy_book,noun.location,3,both
2540,724.0,GPE,Flanders,10.0,the_red_fairy_book,5.0,1170,9,the_fairy_book,noun.location,3,both
2541,721.0,GPE,Flanders,10.0,fairy_and_folk_tales_of_the_irish_peasantry,1.0,1171,9,the_red_fairy_book,noun.location,5,both
2542,722.0,GPE,Flanders,10.0,the_fairy_book,3.0,1171,9,the_red_fairy_book,noun.location,5,both
